ID,LAT,LON,New_Greenl,Old_Greenl,Foreign_na,Official_n,Alternativ,RGI_ID,GLIMS_ID,RGI_LON,RGI_LAT,Type
GGN0001,60.116600,-43.370000,Sermeq Kujalleq,Sermeq Kujatdleq,,Sermeq Kujalleq,,RGI40-05.04361,G316578E60159N,-43.421700,60.159300,LGIC
GGN0002,60.134900,-43.512500,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,RGI40-05.04363,G316482E60158N,-43.518200,60.158400,LGIC
GGN0003,60.162700,-43.727800,Sermikasik Avannarleq,Sermikasik Avangnardleq,,Sermikasik Avannarleq,,RGI40-05.04356,G316285E60178N,-43.715400,60.177900,LGIC
GGN0004,60.163900,-43.703800,Sermikasik Kujalleq,Sermikasik Kujatdleq,,Sermikasik Kujalleq,,RGI40-05.04356,G316285E60178N,-43.715400,60.177900,LGIC
GGN0005,60.217100,-43.337000,Sermeq Avannarleq,Sermeq Avangnardleq,,Sermeq Avannarleq,,RGI40-05.04332,G316577E60220N,-43.422900,60.219900,LGIC
GGN0006,60.235200,-43.264400,Sermeq Qeqqarleq,Sermeq Qerqardleq,,Sermeq Qeqqarleq,,RGI40-05.04331,G316702E60261N,-43.298000,60.261300,LGIC
GGN0007,60.250500,-43.244500,Sermeq Kujalleq,Sermeq Kujatdleq,,Sermeq Kujalleq,,RGI40-05.04331,G316702E60261N,-43.298000,60.261300,LGIC
GGN0008,60.309800,-43.948000,Paarliit Sermiat,,,Paarliit Sermiat,Paarliit Sermia,RGI40-05.04309,G316193E60315N,-43.806600,60.315100,LGIC
GGN0009,60.311400,-45.273600,,,Napasorsuaq Gletsjer,Napasorsuaq Gletsjer,,RGI40-05.03779,G314725E60307N,-45.274900,60.307400,LGIC
GGN0010,60.347900,-44.109300,Sermikasik,,,Sermikasik,,RGI40-05.03889,G315849E60344N,-44.151300,60.343600,LGIC
GGN0011,60.409700,-44.127200,Qinngorliit Sermiat,,,Qinngorliit Sermiat,Qinngerliit Sermiat,RGI40-05.04288,G315830E60462N,-44.169900,60.462200,LGIC
GGN0012,60.531900,-44.425600,Sermitsiaq,Sermitsiaq,,Sermitsiaq,,RGI40-05.04052,G315652E60546N,-44.348200,60.545500,LGIC
GGN0013,60.568600,-44.463600,Sermersuasik,,,Sermersuasik,,RGI40-05.04143,G315572E60586N,-44.428100,60.586400,LGIC
GGN0014,60.702200,-45.237500,Sermitsiaq Killeq,Sermitsiaq Kitdleq,,Sermitsiaq Killeq,,RGI40-05.04402,G314767E60701N,-45.233300,60.700800,LGIC
GGN0015,60.716500,-45.207000,Sermitsiaq Kangilleq,Sermitsiaq Kangigdleq,,Sermitsiaq Kangilleq,,RGI40-05.04310,G314796E60715N,-45.204400,60.714500,LGIC
GGN0016,60.797700,-44.490200,Sermeq,Sermeq,,Sermeq,,,,0.000000,0.000000,GrIS
GGN0017,60.859800,-44.876400,Siorallip Sermia,Sioragdlip Sermia,,Siorallip Sermia,,,,0.000000,0.000000,GrIS
GGN0018,60.966700,-44.916700,Sermeq Kangilleq,Sermeq Kangigdleq,,Sermeq Kangilleq,,,,0.000000,0.000000,GrIS
GGN0019,60.983300,-45.016700,,,Jespersen Bræ,Jespersen Bræ,,,,0.000000,0.000000,GrIS
GGN0020,60.984500,-46.986300,Sermilik,,Sermilik Bræ,Sermilik,,,,0.000000,0.000000,GrIS
GGN0021,60.993800,-45.907900,,,Narsaq Bræ,Narsaq Bræ,,RGI40-05.04721,G314094E60995N,-45.905800,60.995400,LGIC
GGN0022,61.008800,-46.686000,Qalerallit Sermiat,Qaleragdlit Sermiat,,Qalerallit Sermiat,,,,0.000000,0.000000,GrIS
GGN0023,61.037300,-46.581200,Naajat Sermiat,Naujat Sermiat,,Naajat Sermiat,,,,0.000000,0.000000,GrIS
GGN0024,61.050000,-47.666700,,,Nordre Qipisaqqu Bræ,Nordre Qipisaqqu Bræ,,,,0.000000,0.000000,GrIS
GGN0025,61.050000,-47.500000,,,Søndre Qipisaqqu Bræ,Søndre Qipisaqqu Bræ,,,,0.000000,0.000000,GrIS
GGN0026,61.090000,-46.418400,Ilorliit,Ilordlît,,Ilorliit,,,,0.000000,0.000000,GrIS
GGN0027,61.095000,-46.317100,Serminnguaq,Sermínguaq,,Serminnguaq,,,,0.000000,0.000000,GrIS
GGN0028,61.145200,-47.742400,,,Søndre Qoornoq Bræ,Søndre Qoornoq Bræ,,,,0.000000,0.000000,GrIS
GGN0029,61.191200,-47.718100,,,Nordre Qoornoq Bræ,Nordre Qoornoq Bræ,,,,0.000000,0.000000,GrIS
GGN0030,61.214900,-48.451200,,,Storebræ,Storebræ,,RGI40-05.04997,G311549E61209N,-48.451100,61.209100,LGIC
GGN0031,61.215700,-48.430900,,,Nordre Hængebræ,Nordre Hængebræ,,RGI40-05.04989,G311571E61214N,-48.428600,61.214400,LGIC
GGN0032,61.266700,-45.266700,Kiattuut Sermiat,Kiagtût Sermiat,,Kiattuut Sermiat,,,,0.000000,0.000000,GrIS
GGN0033,61.276500,-46.150100,Eqalorutsit Killiit Sermiat,Eqalorutsit Kitdlît Sermiat,,Eqalorutsit Killiit Sermiat,,,,0.000000,0.000000,GrIS
GGN0034,61.296600,-44.960800,,,Sydtunge,Sydtunge,,,,0.000000,0.000000,GrIS
GGN0035,61.298600,-44.799900,,,Tretungegletsjer,Tretungegletsjer,,,,0.000000,0.000000,GrIS
GGN0036,61.310700,-47.869300,Sermeq,Sermeq,Arsuk Bræ,Sermeq,,,,0.000000,0.000000,GrIS
GGN0037,61.312300,-44.996400,,,Nordtunge,Nordtunge,,,,0.000000,0.000000,GrIS
GGN0038,61.345700,-44.983900,Qooqqup Sermia,Qôrqup Sermia,,Qooqqup Sermia,,,,0.000000,0.000000,GrIS
GGN0039,61.351700,-47.806500,,,Sortisen,Sortisen,,,,0.000000,0.000000,GrIS
GGN0040,61.366200,-45.158600,,,Sydgletsjer,Sydgletsjer,,,,0.000000,0.000000,GrIS
GGN0041,61.375300,-45.731800,Eqalorutsit Kangilliit Sermiat,Eqalorutsit Kangigdlît Sermiat,,Eqalorutsit Kangilliit Sermiat,,,,0.000000,0.000000,GrIS
GGN0042,61.433300,-45.400000,,,Nordbogletsjer,Nordbogletsjer,,,,0.000000,0.000000,GrIS
GGN0043,61.455800,-44.951800,,,Østgletsjer,Østgletsjer,,,,0.000000,0.000000,GrIS
GGN0044,61.478000,-45.156400,,,Nordgletsjer,Nordgletsjer,,,,0.000000,0.000000,GrIS
GGN0045,61.519800,-47.969700,,,Sioralik Bræ,Sioralik Bræ,,,,0.000000,0.000000,GrIS
GGN0046,61.637700,-48.139900,Sermiligaarsuup Sermia,,Sermiligaarsuk Bræ,Sermiligaarsuup Sermia,,,,0.000000,0.000000,GrIS
GGN0047,61.966700,-48.633300,Uukkaasorsuaq,Ùkâssorssuaq,Sermilik Bræ,Uukkaasorsuaq,,,,0.000000,0.000000,GrIS
GGN0048,62.079500,-48.766600,,,Nigerlikasik Bræ,Nigerlikasik Bræ,,,,0.000000,0.000000,GrIS
GGN0049,62.195400,-48.827400,,,Akulleq Bræ,Akulleq Bræ,,,,0.000000,0.000000,GrIS
GGN0050,62.200000,-42.350000,Sikuijivittip Apusiia,Sikuijivítip Apusîa,,Sikuijivittip Apusiia,,,,0.000000,0.000000,GrIS
GGN0051,62.222000,-48.973100,,,Avannarleq Bræ,Avannarleq Bræ,,,,0.000000,0.000000,GrIS
GGN0052,62.557100,-49.891100,Sioqqap Sermia,,Frederikshåb Isblink,Sioqqap Sermia,,,,0.000000,0.000000,GrIS
GGN0053,62.905200,-42.685100,,,Heimdal Gletsjer,Heimdal Gletsjer,,,,0.000000,0.000000,GrIS
GGN0054,63.055600,-42.380700,,,Garm,Garm,,RGI40-05.06021,G317519E63061N,-42.480900,63.060700,LGIC
GGN0055,63.065900,-49.584800,Nakkaasorsuaq,Nákâssorssuaq,,Nakkaasorsuaq,Allumersat Qinnguata Sermia,,,0.000000,0.000000,GrIS
GGN0056,63.183300,-41.583300,Apusiigajik,Apusîkajik,,Apusiigajik,,RGI40-05.06236,G318388E63185N,-41.612500,63.184900,LGIC
GGN0057,63.221600,-42.545500,,,Guldfaxe,Guldfaxe,,,,0.000000,0.000000,GrIS
GGN0058,63.289900,-41.467800,,,Bjarke Gletsjer,Bjarke Gletsjer,,RGI40-05.06305,G318528E63295N,-41.472200,63.295300,LGIC
GGN0059,63.292600,-41.916800,Apusiigajik,Apusîkajik,Skinfaxe,Apusiigajik,"Apusiikajik; Apusiigai",,,0.000000,0.000000,GrIS
GGN0060,63.305000,-42.366900,,,Rimfaxe,Rimfaxe,,,,0.000000,0.000000,GrIS
GGN0061,63.305600,-41.296100,,,Hjalte Gletsjer,Hjalte Gletsjer,,RGI40-05.06324,G318697E63308N,-41.303200,63.308400,LGIC
GGN0062,63.308600,-41.246700,Apusiigajik,Apusîkajik,,Apusiigajik,,RGI40-05.06320,G318744E63310N,-41.256000,63.310100,LGIC
GGN0063,63.325500,-42.271800,,,Ygdrasil,Ygdrasil,,RGI40-05.06267,G317703E63336N,-42.297500,63.335600,LGIC
GGN0064,63.330400,-42.159400,,,Tjasse Gletsjer,Tjasse Gletsjer,,,,0.000000,0.000000,GrIS
GGN0065,63.334200,-40.700800,Apusiigajik,Apusîkajik,,Apusiigajik,,RGI40-05.06412,G318850E63397N,-41.150500,63.396600,LGIC
GGN0066,63.335100,-41.507600,,,Vigge Gletsjer,Vigge Gletsjer,,RGI40-05.06401,G318483E63335N,-41.517500,63.334900,LGIC
GGN0067,63.371400,-41.526300,Qoornersaata Apuseertakajaa,Qôrnersâta Apusêrtakajâ,Njord Gletsjer,Qoornersaata Apuseertakajaa,,RGI40-05.06394,G318464E63372N,-41.536400,63.371800,LGIC
GGN0068,63.383300,-41.716700,Apuseerajik,Apusêrajik,,Apuseerajik,,RGI40-05.06423,G318284E63395N,-41.716200,63.394500,LGIC
GGN0069,63.431000,-41.960800,Kattilersarpik,Kagtilersarpik,Rumleren,Kattilersarpik,Apuseerngai,,,0.000000,0.000000,GrIS
GGN0070,63.454000,-41.965900,Singiiaaleqaaq,Singîâleqaoq,,Singiiaaleqaaq,Tingiaaleraar,RGI40-05.06466,G318031E63454N,-41.968700,63.453600,LGIC
GGN0071,63.458900,-41.815000,Miialeqaaq,Mîaleqaoq,,Miialeqaaq,,RGI40-05.06485,G318182E63459N,-41.818200,63.458600,LGIC
GGN0072,63.459600,-41.749600,Apusiigajik,Apusîkajik,Skjoldmøen,Apusiigajik,"Apusiikajik; Apusiigai",RGI40-05.06486,G318253E63432N,-41.747500,63.432000,LGIC
GGN0073,63.542900,-41.991200,,,Thrym Gletsjer,Thrym Gletsjer,,,,0.000000,0.000000,GrIS
GGN0074,63.557600,-50.399900,Sermeq,Sermeq,,Sermeq,,,,0.000000,0.000000,GrIS
GGN0075,63.583200,-41.235800,,,Sigyn Gletsjer,Sigyn Gletsjer,,RGI40-05.06803,G318726E63593N,-41.274100,63.592800,LGIC
GGN0076,63.586900,-41.625100,,,Storehund,Storehund,,,,0.000000,0.000000,GrIS
GGN0077,63.608100,-41.748300,,,Jomfruen,Jomfruen,,,,0.000000,0.000000,GrIS
GGN0078,63.613800,-41.552100,,,Lossen,Lossen,,,,0.000000,0.000000,GrIS
GGN0079,63.640700,-41.487800,,,Skorpionen,Skorpionen,,,,0.000000,0.000000,GrIS
GGN0080,63.641500,-41.158500,,,Tjalfe Gletsjer,Tjalfe Gletsjer,,RGI40-05.06796,G318852E63633N,-41.147600,63.633300,LGIC
GGN0081,63.645400,-41.053100,,,Røskva Gletsjer,Røskva Gletsjer,,RGI40-05.06799,G318955E63641N,-41.045400,63.640600,LGIC
GGN0082,63.691200,-41.868100,,,Mælkevejen,Mælkevejen,,,,0.000000,0.000000,GrIS
GGN0083,63.704600,-40.738700,,,Gymer Gletsjer,Gymer Gletsjer,,RGI40-05.07003,G319232E63744N,-40.767600,63.744400,LGIC
GGN0084,63.705100,-40.879000,,,Gerd Gletsjer,Gerd Gletsjer,,RGI40-05.07005,G319028E63741N,-40.972100,63.740500,LGIC
GGN0085,63.716700,-41.650000,,,Storebjørn,Storebjørn,,,,0.000000,0.000000,GrIS
GGN0086,63.724700,-40.977300,,,Ydun Gletsjer,Ydun Gletsjer,,RGI40-05.07005,G319028E63741N,-40.972100,63.740500,LGIC
GGN0087,63.809500,-40.676900,,,Gjallerbroen,Gjallerbroen,,RGI40-05.07011,G319268E63812N,-40.732400,63.811700,LGIC
GGN0088,63.879700,-40.728200,,,Gungner,Gungner,,RGI40-05.07168,G319152E63854N,-40.848200,63.853600,LGIC
GGN0089,63.884600,-41.765400,,,A.P. Bernstorff Gletsjer,A.P. Bernstorff Gletsjer,,,,0.000000,0.000000,GrIS
GGN0090,63.900000,-41.333300,,,Sleipner,Sleipner,,,,0.000000,0.000000,GrIS
GGN0091,63.950200,-41.514600,,,Fimbulgletsjer,Fimbulgletsjer,,,,0.000000,0.000000,GrIS
GGN0092,64.115900,-40.607000,Qapiarpik,Qapiarpik,,Qapiarpik,Qapiarpi,RGI40-05.07193,G319241E64087N,-40.758800,64.086800,LGIC
GGN0093,64.150000,-49.750000,Kangaasarsuup Sermia,Kangaussarssûp Sermia,,Kangaasarsuup Sermia,,,,0.000000,0.000000,GrIS
GGN0094,64.296600,-49.610200,Kangiata Nunaata Sermia,Kangiata nunâta Sermia,,Kangiata Nunaata Sermia,,,,0.000000,0.000000,GrIS
GGN0095,64.350000,-41.566700,,,Gråulv,Gråulv,,,,0.000000,0.000000,GrIS
GGN0096,64.363000,-40.930800,Apuseerserpia,Apusêrserpia,,Apuseerserpia,,,,0.000000,0.000000,GrIS
GGN0097,64.383300,-49.477900,Akullersuup Sermia,Akugdlerssûp Sermia,,Akullersuup Sermia,,,,0.000000,0.000000,GrIS
GGN0098,64.398100,-40.655100,Puisertoq,Puisertoq,,Puisertoq,,,,0.000000,0.000000,GrIS
GGN0099,64.404900,-51.123200,Sermikasik,,,Sermikasik,,RGI40-05.07469,G308910E64399N,-51.090200,64.398900,LGIC
GGN0100,64.462000,-40.205700,Kangerup Apusiia,Kangerup Apusîa,,Kangerup Apusiia,Kangi Apusiia,RGI40-05.07490,G319659E64488N,-40.341200,64.488200,LGIC
GGN0101,64.487200,-49.506400,Qamanaarsuup Sermia,Qamanârssûp Sermia,,Qamanaarsuup Sermia,,,,0.000000,0.000000,GrIS
GGN0102,64.667200,-49.857600,Narsap Sermia,Narssap Sermia,,Narsap Sermia,,,,0.000000,0.000000,GrIS
GGN0103,64.866700,-49.900000,Kangilinnguata Sermia,Kangilínguata Sermia,,Kangilinnguata Sermia,,,,0.000000,0.000000,GrIS
GGN0104,65.073100,-40.195500,Apuseeq,Apusêq,,Apuseeq,,,,0.000000,0.000000,GrIS
GGN0105,65.286900,-50.428900,Saqqap Sermia,Sarqap Sermia,,Saqqap Sermia,,,,0.000000,0.000000,GrIS
GGN0106,65.316700,-51.833300,Sermeralak,Sermeralak,,Sermeralak,,RGI40-05.00035,G308167E65307N,-51.832700,65.306900,LGIC
GGN0107,65.614200,-52.454100,Sermeralak Killeq,,,Sermeralak Killeq,,RGI40-05.00340,G307572E65613N,-52.428100,65.613200,LGIC
GGN0108,65.628000,-38.708400,Nattivit Apusiiat,Apusêrsêrpia,,Nattivit Apusiiat,"Apuseerseerpia; Naddivid Apusiiad; Apuseer",,,0.000000,0.000000,GrIS
GGN0109,65.628800,-52.085300,Qapiarfiup Sermia,Qapiarfiup Sermia,,Qapiarfiup Sermia,,RGI40-05.00115,G307874E65600N,-52.126200,65.600000,LGIC
GGN0110,65.632600,-52.653700,Sermeralak,,,Sermeralak,,RGI40-05.00111,G307352E65626N,-52.648500,65.625900,LGIC
GGN0111,65.647200,-37.077700,Apusiaajik,Apusiâjik,,Apusiaajik,Apusiaai,RGI40-05.11158,G322948E65651N,-37.052500,65.651200,LGIC
GGN0112,65.649000,-52.437300,Sermeralak Kangilleq,,,Sermeralak Kangilleq,,RGI40-05.00355,G307607E65641N,-52.393100,65.641000,LGIC
GGN0113,65.655100,-36.981500,Apusiaajik Kiatteq,Apusiâjik,,Apusiaajik Kiatteq,"Apusiaajik; Apusiaai Kiadder",RGI40-05.11117,G323016E65653N,-36.983900,65.652800,LGIC
GGN0114,65.663200,-51.556800,Aappilanileralak,,,Aappilanileralak,,RGI40-05.00086,G308448E65663N,-51.551700,65.663100,LGIC
GGN0115,65.703500,-38.741200,,,Bussemandgletsjer,Bussemandgletsjer,,,,0.000000,0.000000,GrIS
GGN0116,65.733300,-37.000000,Apuseeq,Apusêq,,Apuseeq,,RGI40-05.11219,G322988E65738N,-37.012400,65.737900,LGIC
GGN0117,65.800900,-38.223600,Apuseerajik Anngittumanngitteq,,Hobbs Gletsjer,Apuseerajik Anngittumanngitteq,Apuseerngai anngitsumanngitser,RGI40-05.11225,G321802E65782N,-38.197800,65.782200,LGIC
GGN0118,65.860900,-36.231800,Apuseertaa,Apusêrtâ,,Apuseertaa,,RGI40-05.11354,G323767E65862N,-36.232800,65.861600,LGIC
GGN0119,65.863000,-52.522700,Sermeralak,,,Sermeralak,,RGI40-05.00268,G307470E65859N,-52.530000,65.859100,LGIC
GGN0120,65.867300,-38.377000,Apuseerajik,Apusêrajik,Hann Gletsjer,Apuseerajik,Apuseerngai,RGI40-05.11257,G321575E65856N,-38.424900,65.855500,LGIC
GGN0121,65.875700,-37.403900,,,Dobbeltbræen,Dobbeltbræen,,RGI40-05.11365,G322578E65882N,-37.422400,65.882200,LGIC
GGN0122,65.916700,-36.550000,Apusiiaajik,Apusiâjik,,Apusiiaajik,"Apusiaajik; Apusiaai",RGI40-05.11398,G323454E65915N,-36.545900,65.914500,LGIC
GGN0123,65.926800,-36.580200,Apusiigajik,Apusîgajik,,Apusiigajik,"Apusiikajik; Apusiigai",RGI40-05.11414,G323425E65926N,-36.575500,65.925800,LGIC
GGN0124,65.928100,-52.430800,Sermitsiaq Kangilleq,,,Sermitsiaq Kangilleq,,RGI40-05.00828,G307587E65935N,-52.413500,65.935200,LGIC
GGN0125,65.933300,-51.800000,Aalasaama,Aulasâma,,Aalasaama,,RGI40-05.00314,G308176E65918N,-51.824500,65.917600,LGIC
GGN0126,65.935700,-38.460100,Kangertivala Apusiiala Qeqqarterpaartaa,Apusêrajik,Brückner Gletsjer,Kangertivala Apusiiala Qeqqarterpaartaa,"Apuseerajik; Kangertsivala Apusiiala Qeqqartserpaartaa",,,0.000000,0.000000,GrIS
GGN0127,65.944700,-37.442200,Apuseerajik,Apusêrajik,,Apuseerajik,Apuseerngai,RGI40-05.11359,G322551E65918N,-37.449300,65.918000,LGIC
GGN0128,65.961300,-52.072100,Inorersut Sermiat,,,Inorersut Sermiat,,RGI40-05.00310,G307955E65949N,-52.045100,65.949300,LGIC
GGN0129,65.963200,-52.262100,Taateraatsiaat Sermiat,Tâterâtsiait Sermiat,,Taateraatsiaat Sermiat,Taateraat Sermiat Killeq,RGI40-05.00818,G307687E65965N,-52.313500,65.964500,LGIC
GGN0130,65.964900,-52.562300,Sisuugussiviup Sermia,Sisûgússiviup Sermia,,Sisuugussiviup Sermia,,RGI40-05.00303,G307450E65956N,-52.550400,65.956200,LGIC
GGN0131,65.966700,-52.500000,Sermitaq Ammalortoq,Sermitaq Angmalortoq,,Sermitaq Ammalortoq,,RGI40-05.00839,G307519E65964N,-52.480900,65.964200,LGIC
GGN0132,65.983300,-52.300000,Itillineq,Itivdlineq,,Itillineq,,RGI40-05.00818,G307687E65965N,-52.313500,65.964500,LGIC
GGN0133,65.986600,-38.449600,Kangertsivala Apusiia,,Heim Gletsjer,Kangertsivala Apusiia,,,,0.000000,0.000000,GrIS
GGN0134,65.990600,-51.894600,Tapa,Tapa,,Tapa,,RGI40-05.00304,G308045E65929N,-51.955000,65.929300,LGIC
GGN0135,66.005300,-52.453100,Taateraat Sermiat,Tâterât Sermiat,,Taateraat Sermiat,,RGI40-05.00800,G307859E66095N,-52.141000,66.094500,LGIC
GGN0136,66.009600,-38.364400,Kattilertarpia,Kagtilersorpia,,Kattilertarpia,"Kattilersorpia; Kaddilertsarpia",,,0.000000,0.000000,GrIS
GGN0137,66.012100,-36.012800,Apuseeq,Apusineq,,Apuseeq,Apusineq,RGI40-05.13934,G323982E66014N,-36.017800,66.013500,LGIC
GGN0138,66.015200,-52.994700,Sermeralak,Sermeralak,,Sermeralak,Sermeralaa,RGI40-05.00854,G307077E66077N,-52.922900,66.076500,LGIC
GGN0139,66.016700,-52.200000,Taateraatsiaat Sermiat,Tâterâtsiait Sermiat,,Taateraatsiaat Sermiat,Taateraat Sermiat Kangilleq,RGI40-05.00798,G307793E66027N,-52.206900,66.027000,LGIC
GGN0140,66.016700,-52.816700,Sermitsiaq,Sermitsiaq,,Sermitsiaq,,RGI40-05.00817,G307554E66152N,-52.445900,66.151900,LGIC
GGN0141,66.037200,-52.059500,Salliarusiarsuit Sermiat,Sagdliarusiarssuit Sermiat,,Salliarusiarsuit Sermiat,,RGI40-05.00824,G307940E66043N,-52.060200,66.043000,LGIC
GGN0142,66.046900,-36.318800,Apuseerajik,Apusêrajik,,Apuseerajik,Apuseerngaiid,RGI40-05.11639,G323695E66046N,-36.304700,66.046300,LGIC
GGN0143,66.049300,-52.482900,Avannarliup Sermia,Avangnardliup Sermia,,Avannarliup Sermia,,RGI40-05.00831,G307600E66099N,-52.400000,66.099300,LGIC
GGN0144,66.050000,-52.000000,Salliarutsit Sermiat,Sagdliarutsit Sermiat,,Salliarutsit Sermiat,,RGI40-05.00822,G308004E66062N,-51.995800,66.061700,LGIC
GGN0145,66.060700,-51.904200,Ippattaq,Ípagtaq,,Ippattaq,,RGI40-05.00821,G308098E66060N,-51.902000,66.059700,LGIC
GGN0146,66.069900,-51.862900,Nakkarajooq,Nákarajôq,,Nakkarajooq,,RGI40-05.00814,G308093E66087N,-51.907000,66.087400,LGIC
